2.001129999999999995e+02,9.911993999999999971e+00
2.001189999999999998e+02,9.940725000000000477e+00
2.001250000000000000e+02,9.883264000000000493e+00
2.001310000000000002e+02,9.959877999999999787e+00
2.001370000000000005e+02,9.969454999999999956e+00
2.001430000000000007e+02,9.969454999999999956e+00
2.001490000000000009e+02,9.940725000000000477e+00
2.001539999999999964e+02,9.969454999999999956e+00
2.001599999999999966e+02,9.988609000000000293e+00
2.001659999999999968e+02,1.005564599999999942e+01
2.001719999999999970e+02,1.001733899999999977e+01
2.001779999999999973e+02,9.950302000000000646e+00
2.001839999999999975e+02,1.002691599999999994e+01
2.001899999999999977e+02,9.940725000000000477e+00
2.001959999999999980e+02,9.959877999999999787e+00
2.002009999999999934e+02,9.979032000000000124e+00
2.002069999999999936e+02,9.950302000000000646e+00
2.002129999999999939e+02,9.959877999999999787e+00
2.002189999999999941e+02,9.998186000000000462e+00
2.002249999999999943e+02,9.931148000000000309e+00
2.002309999999999945e+02,1.003649300000000011e+01
2.002369999999999948e+02,9.959877999999999787e+00
2.002429999999999950e+02,9.979032000000000124e+00
2.002479999999999905e+02,9.902418000000000831e+00
2.002539999999999907e+02,9.988609000000000293e+00
2.002599999999999909e+02,1.000776199999999960e+01
2.002659999999999911e+02,9.931148000000000309e+00
2.002719999999999914e+02,9.902418000000000831e+00
2.002779999999999916e+02,9.911993999999999971e+00
2.002839999999999918e+02,9.959877999999999787e+00
2.002889999999999873e+02,9.998186000000000462e+00
2.002949999999999875e+02,9.931148000000000309e+00
2.003009999999999877e+02,9.940725000000000477e+00
2.003069999999999879e+02,9.940725000000000477e+00
2.003129999999999882e+02,9.931148000000000309e+00
2.003180000000000121e+02,9.979032000000000124e+00
2.003240000000000123e+02,9.931148000000000309e+00
2.003300000000000125e+02,9.921571000000000140e+00
2.003360000000000127e+02,9.921571000000000140e+00
2.003420000000000130e+02,9.902418000000000831e+00
2.003480000000000132e+02,1.001733899999999977e+01
2.003540000000000134e+02,9.940725000000000477e+00
2.003600000000000136e+02,9.998186000000000462e+00
2.003650000000000091e+02,9.959877999999999787e+00
2.003710000000000093e+02,9.959877999999999787e+00
