6.384009999999999536e+02,1.002691599999999994e+01
6.384070000000000391e+02,9.940725000000000477e+00
6.384120000000000346e+02,9.931148000000000309e+00
6.384239999999999782e+02,9.911993999999999971e+00
6.384289999999999736e+02,9.950302000000000646e+00
6.384349999999999454e+02,9.959877999999999787e+00
6.384410000000000309e+02,9.931148000000000309e+00
6.384470000000000027e+02,9.931148000000000309e+00
6.384519999999999982e+02,9.902418000000000831e+00
6.384579999999999700e+02,9.902418000000000831e+00
6.384640000000000555e+02,9.940725000000000477e+00
6.384690000000000509e+02,9.921571000000000140e+00
6.384750000000000227e+02,9.979032000000000124e+00
6.384809999999999945e+02,9.911993999999999971e+00
6.384859999999999900e+02,9.940725000000000477e+00
6.384919999999999618e+02,9.921571000000000140e+00
6.384980000000000473e+02,9.931148000000000309e+00
6.385030000000000427e+02,9.979032000000000124e+00
6.385090000000000146e+02,9.911993999999999971e+00
6.385149999999999864e+02,9.931148000000000309e+00
6.385199999999999818e+02,9.931148000000000309e+00
6.385259999999999536e+02,1.001733899999999977e+01
6.385320000000000391e+02,9.902418000000000831e+00
6.385380000000000109e+02,9.940725000000000477e+00
6.385430000000000064e+02,9.998186000000000462e+00
6.385489999999999782e+02,9.959877999999999787e+00
6.385549999999999500e+02,9.864110000000000156e+00
6.385610000000000355e+02,9.940725000000000477e+00
6.385660000000000309e+02,9.940725000000000477e+00
6.385720000000000027e+02,9.959877999999999787e+00
6.385769999999999982e+02,9.931148000000000309e+00
6.385829999999999700e+02,9.873687000000000324e+00
6.385890000000000555e+02,9.921571000000000140e+00
6.385950000000000273e+02,9.931148000000000309e+00
6.386000000000000227e+02,9.950302000000000646e+00
6.386059999999999945e+02,9.959877999999999787e+00
6.386119999999999663e+02,9.950302000000000646e+00
6.386169999999999618e+02,9.000000000000000000e+00
6.386230000000000473e+02,9.940725000000000477e+00
6.386290000000000191e+02,9.902418000000000831e+00
6.386399999999999864e+02,9.931148000000000309e+00
6.386459999999999582e+02,9.969454999999999956e+00
6.386520000000000437e+02,9.883264000000000493e+00
6.386570000000000391e+02,9.979032000000000124e+00
6.386630000000000109e+02,9.940725000000000477e+00
6.386680000000000064e+02,1.000776199999999960e+01
6.386739999999999782e+02,9.969454999999999956e+00
6.386799999999999500e+02,9.959877999999999787e+00
6.386860000000000355e+02,9.931148000000000309e+00
6.386910000000000309e+02,9.969454999999999956e+00
6.386970000000000027e+02,9.940725000000000477e+00
6.387029999999999745e+02,9.959877999999999787e+00
6.387089999999999463e+02,9.921571000000000140e+00
6.387140000000000555e+02,9.921571000000000140e+00
6.387200000000000273e+02,9.883264000000000493e+00
6.387259999999999991e+02,9.940725000000000477e+00
6.387309999999999945e+02,9.931148000000000309e+00
6.387369999999999663e+02,9.902418000000000831e+00
6.387430000000000518e+02,9.998186000000000462e+00
6.387490000000000236e+02,9.998186000000000462e+00
6.387540000000000191e+02,9.988609000000000293e+00
6.387599999999999909e+02,9.959877999999999787e+00
6.387659999999999627e+02,9.959877999999999787e+00
6.387709999999999582e+02,9.873687000000000324e+00
6.387770000000000437e+02,9.988609000000000293e+00
6.387830000000000155e+02,9.892841000000000662e+00
6.387880000000000109e+02,9.959877999999999787e+00
